8.8875,4.4505
8.8275,7.7395
6.0867,0.39664
3.759,7.5201
7.0317,5.8122
2.514,2.6235
1.0601,5.5125
8.7969,7.5906
8.6363,7.948
0.24356,0.37184
1.0455,6.8589
5.7309,7.8568
1.8992,1.3514
9.867,2.4948
4.0853,1.5982
8.6301,8.0264
4.2509,0.52581
8.0703,8.8645
6.7466,9.1144
2.6833,5.0268
0.041105,4.9164
8.935,9.9052
0.31819,7.8824
8.9531,1.5239
0.46532,5.6725
2.911,9.0428
2.802,0.16102
9.4471,7.665
6.0892,4.3029
1.2806,1.3265
6.6287,9.2947
6.1009,9.6972
9.8907,2.2885
7.8556,5.7989
4.1947,9.9005
5.1628,1.2043
7.5251,7.7011
8.1897,2.3013
0.41631,3.8717
8.9564,3.485
7.0699,6.6583
8.6594,2.3548
5.9328,8.4467
9.5147,8.6116
5.0467,1.591
6.9029,8.8088
8.068,7.4397
7.0013,7.5515
1.4242,9.1493
2.3852,1.8578
0.45466,9.9159
1.2709,4.7452
1.7206,6.5867
0.93681,0.24043
1.0583,8.6897
5.622,8.6827
7.73,5.217
2.2829,4.5235
7.0482,1.4318
0.63732,0.040879
0.86112,8.9048
5.1092,1.0428
2.2322,3.9623
2.564,8.9325
2.6665,4.3763
4.5007,1.1498
0.31854,4.9702
6.407,8.5697
4.3757,5.1471
5.5862,0.44163
2.1429,1.2472
2.1112,9.8554
3.2246,0.91717
2.5191,6.5212
1.5797,2.8395
4.6836,7.701
3.5901,8.7055
3.6747,7.8783
6.0599,2.6971
2.0492,1.5175
7.8193,0.50933
6.2349,9.5029
1.0888,2.5833
6.1746,4.9109
7.1887,1.19
1.8023,5.5678
3.9368,0.40228
9.3331,0.21874
7.2035,1.1662
9.8706,0.9336
7.3319,9.8782
5.2176,8.0844
3.106,5.7624
3.4838,1.033
3.5222,4.9784
0.59354,4.0651
5.546,5.2549
2.4203,1.9724
7.8001,5.9485
7.9125,8.759
