8.15	6.31
9.06	3.55
1.27	9.97
9.13	2.24
6.32	6.52
0.975	6.05
2.78	3.87
5.47	1.42
9.58	0.251
9.65	4.21
1.58	1.84
9.71	7.26
9.57	3.7
4.85	8.42
8	7.34
1.42	5.71
4.22	1.77
9.16	9.57
7.92	2.65
9.59	9.25
6.56	2.24
0.357	3.74
8.49	0.875
9.34	6.4
6.79	1.81
7.58	0.451
7.43	7.23
3.92	3.47
6.55	6.61
1.71	3.84
7.06	6.27
0.318	0.216
2.77	9.11
0.462	8.01
0.971	7.46
8.23	8.13
6.95	3.83
3.17	6.17
9.5	5.75
0.344	5.3
4.39	2.75
3.82	2.49
7.66	4.52
7.95	2.28
1.87	8.04
4.9	9.86
4.46	0.3
6.46	5.36
7.09	0.871
7.55	8.02
2.76	9.89
6.8	0.669
6.55	9.39
1.63	0.182
1.19	6.84
4.98	7.84
9.6	5.34
3.4	8.85
5.85	8.99
2.24	6.26
7.51	1.38
2.55	2.18
5.06	1.82
6.99	0.418
8.91	1.07
9.59	6.16
5.47	9.4
1.39	3.54
1.49	4.11
2.58	9.84
8.41	9.46
2.54	6.77
8.14	9.88
2.44	7.67
9.29	3.37
3.5	6.62
1.97	2.44
2.51	2.96
6.16	6.8
4.73	5.28
3.52	4.12
8.31	6.03
5.85	7.51
5.5	5.84
9.17	5.52
2.86	5.84
7.57	5.12
7.54	0.826
3.8	7.2
5.68	9.96
0.759	3.55
0.54	9.71
5.31	3.46
7.79	8.87
9.34	4.55
1.3	4.13
5.69	2.18
4.69	1.26
0.119	3.09
3.37	7.26
1.62	7.83
7.94	6.94
3.11	0.098
5.29	8.43
1.66	9.22
6.02	7.71
2.63	0.427
6.54	3.78
6.89	7.04
7.48	7.3
4.51	2.24
0.838	2.69
2.29	6.73
9.13	4.77
1.52	6.24
8.26	2.36
5.38	1.77
9.96	8.3
0.782	7.67
4.43	9.34
1.07	1.08
9.62	1.82
0.0463	0.991
7.75	4.9
8.17	1.93
8.69	8.96
0.844	0.991
4	0.442
2.6	5.57
8	7.72
4.31	3.12
9.11	1.79
1.82	3.39
2.64	2.1
1.46	5.1
1.36	9.06
8.69	6.29
5.8	1.02
5.5	3.91
1.45	0.546
8.53	5.01
6.22	4.32
3.51	9.98
5.13	8.12
4.02	4.86
0.76	8.94
2.4	1.38
1.23	3.9
1.84	9.27
2.4	9.17
4.17	7.14
0.497	6.18
9.03	3.43
9.45	9.36
4.91	1.25
4.89	7.31
3.38	6.46
9	8.33
3.69	3.98
1.11	7.5
7.8	8.35
3.9	3.22
2.42	5.52
4.04	9.79
0.965	5.49
1.32	3.3
9.42	6.19
9.56	3.61
5.75	7.57
0.598	4.14
2.35	4.92
3.53	6.95
8.21	9.73
0.154	3.28
0.43	8.38
1.69	7.39
6.49	9.54
7.32	0.319
6.48	3.57
4.51	6.63
5.47	2.82
2.96	2.3
7.45	7.11
1.89	6.25
6.87	5.91
1.84	6.6
3.68	0.476
6.26	3.49
7.8	4.51
0.811	2.41
9.29	7.15
7.76	8.56
4.87	2.82
4.36	7.31
4.47	1.38
3.06	8.37
5.09	1.39
5.11	5.88
8.18	3.66
7.95	8.07
6.44	5.04
3.79	4.9
8.12	8.77
5.33	3.53
3.51	4.49
9.39	9.64
8.76	0.423
5.5	9.73
6.22	1.89
5.87	6.67
2.08	5.86
3.01	6.75
4.71	3.61
2.3	6.2
8.44	8.11
1.95	0.193
2.26	0.839
1.71	9.75
2.28	6.51
4.36	2.31
3.11	4.03
9.23	1.22
4.3	2.68
1.85	2.58
9.05	3.32
9.8	1.52
4.39	3.48
1.11	1.22
2.58	8.84
4.09	0.943
5.95	9.3
2.62	3.99
6.03	0.474
7.11	3.42
2.22	7.36
1.17	7.95
2.97	5.45
3.19	6.86
4.24	8.94
5.08	0.548
0.855	3.04
2.62	0.462
8.01	1.95
0.292	7.2
9.29	7.22
7.3	8.78
4.89	5.82
5.79	0.707
2.37	9.23
4.59	8
9.63	2.86
5.47	5.44
5.21	9.85
2.32	7.16
4.89	8.39
6.24	4.33
6.79	4.71
3.96	5.61
3.67	2.69
9.88	7.49
0.377	5.04
8.85	6.47
9.13	3.08
7.96	1.39
0.987	4.76
2.62	3.62
3.35	7.88
6.8	7.8
1.37	6.69
7.21	1.34
1.07	0.216
6.54	5.6
4.94	3.01
7.79	9.39
7.15	9.81
9.04	2.87
8.91	8.01
3.34	8.96
6.99	5.98
1.98	8.84
0.305	9.44
7.44	5.49
5	7.28
4.8	5.77
9.05	0.259
6.1	4.47
6.18	6.46
8.59	5.21
8.05	3.72
5.77	9.37
1.83	8.3
2.4	8.49
8.87	3.73
0.287	5.93
4.9	8.73
1.68	9.34
9.79	6.68
7.13	2.07
5	6.54
4.71	0.721
0.596	4.07
6.82	6.67
0.424	9.34
0.714	8.11
5.22	4.85
0.967	7.57
8.18	4.17
8.18	9.72
7.22	9.88
1.5	8.64
6.6	3.89
5.19	4.55
9.73	2.47
6.49	7.84
8	8.83
4.54	9.14
4.32	5.58
8.25	5.99
0.835	1.49
1.33	9
1.73	4.5
3.91	2.06
8.31	9
8.03	7.63
0.605	8.82
3.99	2.85
5.27	6.73
4.17	6.64
6.57	1.23
6.28	4.07
2.92	2.75
4.32	7.17
0.155	2.83
9.84	8.96
1.67	8.27
1.06	3.9
3.72	4.98
1.98	6.95
4.9	8.34
3.39	6.1
9.52	5.75
9.2	3.26
